"term","estimate","std.error","conf.low","conf.high","conf.low50","conf.high50","p.value","facet","p.stars","p.label","group","xpos","xmin","xmax"
"Trial 1",-0.01,0.01,-0.04,0.01,-0.02,0,0,"Sequence","***","-0.01","neg",20,19.93,20.07
"Trial 2",-0.01,0.01,-0.04,0.01,-0.02,0,0,"Sequence","***","-0.01","neg",19,18.93,19.07
"Trial 3",0,0.01,-0.02,0.04,0,0.01,0,"Sequence","***","0.00","pos",18,17.93,18.07
"Trial 4",0,0.01,-0.04,0.03,-0.01,0.01,0,"Sequence","***","-0.00","neg",17,16.93,17.07
"Trial 5",0.01,0.02,-0.01,0.06,0,0.03,0,"Sequence","***","0.01","pos",16,15.93,16.07
"Trial 6",-0.01,0.01,-0.03,0.01,-0.02,0,0,"Sequence","***","-0.01","neg",15,14.93,15.07
"Trial 7",0,0.01,-0.03,0.02,-0.01,0.01,0,"Sequence","***","-0.00","neg",14,13.93,14.07
"Trial 8",0,0.01,-0.03,0.04,-0.01,0.01,0,"Sequence","***","0.00","pos",13,12.93,13.07
"Trial 9",0.02,0.02,-0.01,0.06,0,0.03,0,"Sequence","***","0.02","pos",12,11.93,12.07
"Trial 10",0,0.01,-0.03,0.03,-0.01,0.01,0,"Sequence","***","0.00","pos",11,10.93,11.07
"Trial 11",-0.01,0.02,-0.05,0.02,-0.02,0,0,"Sequence","***","-0.01","neg",10,9.93,10.07
"Trial 12",-0.01,0.01,-0.05,0.01,-0.02,0,0,"Sequence","***","-0.01","neg",9,8.93,9.07
"Trial 13",0,0.01,-0.03,0.04,-0.01,0.01,0,"Sequence","***","0.00","pos",8,7.93,8.07
"Trial 14",0,0.01,-0.03,0.02,-0.01,0,0,"Sequence","***","-0.00","neg",7,6.93,7.07
"Trial 15",0,0.01,-0.02,0.02,-0.01,0.01,0,"Sequence","***","0.00","pos",6,5.93,6.07
"Trial 16",-0.01,0.02,-0.06,0.01,-0.03,0,0,"Sequence","***","-0.01","neg",5,4.93,5.07
"Trial 17",0,0.01,-0.02,0.03,0,0.01,0,"Sequence","***","0.00","pos",4,3.93,4.07
"Trial 18",0.01,0.01,-0.01,0.04,0,0.02,0,"Sequence","***","0.01","pos",3,2.93,3.07
"Trial 19",0,0.01,-0.03,0.03,-0.01,0.01,0,"Sequence","***","-0.00","neg",2,1.93,2.07
"Trial 20",0.01,0.01,-0.01,0.04,0,0.02,0,"Sequence","***","0.01","pos",1,0.93,1.07
"Trial 1",0,0.01,-0.01,0.01,-0.01,0,0,"Minute","***","-0.00","neg",20,19.93,20.07
"Trial 2",-0.01,0.01,-0.02,0,-0.01,0,0,"Minute","***","-0.01","neg",19,18.93,19.07
"Trial 3",0,0.01,-0.01,0.01,0,0.01,0,"Minute","***","0.00","pos",18,17.93,18.07
"Trial 4",0,0.01,-0.01,0,-0.01,0,0,"Minute","***","-0.00","neg",17,16.93,17.07
"Trial 5",0.01,0.01,0,0.03,0.01,0.02,0,"Minute","***","0.01","pos",16,15.93,16.07
"Trial 6",0,0.01,-0.01,0.01,-0.01,0,0,"Minute","***","-0.00","neg",15,14.93,15.07
"Trial 7",0,0.01,-0.01,0.01,-0.01,0,0,"Minute","***","-0.00","neg",14,13.93,14.07
"Trial 8",0,0.01,-0.01,0.01,0,0.01,0,"Minute","***","0.00","pos",13,12.93,13.07
"Trial 9",0.01,0.01,0,0.03,0.01,0.02,0,"Minute","***","0.01","pos",12,11.93,12.07
"Trial 10",0,0.01,0,0.01,0,0.01,0,"Minute","***","0.00","pos",11,10.93,11.07
"Trial 11",-0.01,0.01,-0.02,0,-0.01,0,0,"Minute","***","-0.01","neg",10,9.93,10.07
"Trial 12",-0.01,0.01,-0.02,0,-0.01,0,0,"Minute","***","-0.01","neg",9,8.93,9.07
"Trial 13",0.01,0.01,0,0.02,0,0.01,0,"Minute","***","0.01","pos",8,7.93,8.07
"Trial 14",0,0.01,-0.01,0,-0.01,0,0,"Minute","***","-0.00","neg",7,6.93,7.07
"Trial 15",0,0.01,-0.01,0.01,0,0.01,0,"Minute","***","0.00","pos",6,5.93,6.07
"Trial 16",-0.01,0.01,-0.02,0,-0.01,-0.01,0,"Minute","***","-0.01","neg",5,4.93,5.07
"Trial 17",0,0.01,-0.01,0.01,0,0.01,0,"Minute","***","0.00","pos",4,3.93,4.07
"Trial 18",0,0.01,-0.01,0.01,0,0.01,0,"Minute","***","0.00","pos",3,2.93,3.07
"Trial 19",0,0.01,-0.01,0.01,0,0,0,"Minute","***","-0.00","neg",2,1.93,2.07
"Trial 20",0,0.01,-0.01,0.01,0,0,0,"Minute","***","-0.00","neg",1,0.93,1.07
