"Post.Mean","l-95% CI","u-95% CI","Rhat","ESS","Parameter","Model"
0.125,0.043,0.244,1.001,5416,"a: attack rate","P1: linear"
0.285,-0.084,0.733,1.001,5362,"m: mutual interference","P1: linear"
0.007,0.005,0.01,1,7242,"Res. Stand. Dev.","P1: linear"
0.124,0.03,0.262,1,6447,"a: attack rate","P2: hyperbolic"
34.688,20.104,49.229,1,6801,"h: handling time","P2: hyperbolic"
0.934,0.343,1.769,1,5139,"m: mutual interference","P2: hyperbolic"
0.006,0.004,0.008,1,7865,"Res. Stand. Dev.","P2: hyperbolic"
0.119,0.023,0.26,1.001,5942,"a: attack rate","P3: sigmoidal"
46.087,37.303,56.335,1,7634,"h: handling time","P3: sigmoidal"
1.41,1.037,1.887,1.002,4770,"m: mutual interference","P3: sigmoidal"
0.006,0.004,0.008,1,10454,"Res. Stand. Dev.","P3: sigmoidal"
